DATE_TIME,TEMPERATURE,HUMIDITY,WIND,PRECIPITATION
3/12/2021 0:00,4.8709,62.47923,0,0.01923
3/12/2021 1:00,4.03036,68.94966,0,0.32712
3/12/2021 2:00,3.95467,70.73907,0,0.25111
3/12/2021 3:00,4.76393,67.1975,0,0.33367
3/12/2021 4:00,5.03639,66.78481,0,0.23852
3/12/2021 5:00,5.8671,64.23242,0,0.19629
3/12/2021 6:00,6.15098,66.72259,0,0.11389
3/12/2021 7:00,7.33975,60.42317,1.25317,0
3/12/2021 8:00,7.55732,60.25075,2.37,0
3/12/2021 9:00,8.2634,58.74207,2.28862,0
3/12/2021 10:00,8.00004,60.87893,2.26714,0
3/12/2021 11:00,8.27153,59.07133,2.16067,0
3/12/2021 12:00,8.45128,56.39234,2.26957,0
3/12/2021 13:00,8.77482,54.14089,2.18429,0
3/12/2021 14:00,8.62623,56.8534,1.85528,0.01698
3/12/2021 15:00,7.79572,60.7441,1.82574,0.02852
3/12/2021 16:00,7.0807,65.9476,1.3498,0.1382
3/12/2021 17:00,7.20633,67.86689,0,0.20246
3/12/2021 18:00,7.06977,69.83038,0,0.31792
3/12/2021 19:00,6.9369,71.1222,0,0.15322
3/12/2021 20:00,6.22315,74.11462,0,0.34596
3/12/2021 21:00,5.86144,76.8139,0,0.37017
3/12/2021 22:00,5.28409,79.29472,0,0.34491
3/12/2021 23:00,4.98649,81.77966,0,0.39932
3/13/2021 0:00,4.67467,85.28824,0,0.46471
3/13/2021 1:00,4.44652,88.10172,0,0.48397
3/13/2021 2:00,4.35794,90.93226,0,0.52726
3/13/2021 3:00,5.56883,91.65424,0,0.46508
3/13/2021 4:00,7.00844,87.18269,0.39327,0.18346
3/13/2021 5:00,8.67333,81.71361,1.96869,0.02738
3/13/2021 6:00,9.60967,75.60164,2.10508,0.01967
3/13/2021 7:00,10.07885,73.26721,2.48279,0
3/13/2021 8:00,10.65327,68.16236,2.30309,0.02436
3/13/2021 9:00,10.72934,66.18311,2.95885,0.03738
3/13/2021 10:00,11.12151,64.34283,2.75792,0
3/13/2021 11:00,11.33917,63.1225,3.24867,0
3/13/2021 12:00,12.03902,59.35745,2.5002,0
3/13/2021 13:00,12.74623,60.07705,2.43557,0
3/13/2021 14:00,11.99333,63.16333,2.15039,0.03137
3/13/2021 15:00,11.67541,63.35066,1.7418,0
3/13/2021 16:00,10.98077,68.40635,1.62077,0.09538
3/13/2021 17:00,10.32931,75.27466,1.59759,0.26534
3/13/2021 18:00,10.04412,76.00216,1.45392,0.31745
